City ST,City,ST,State,Lat,Lng,,,,
Wasta SD,Wasta,SD,South Dakota,44.0695,-102.4464,,,,
Wastella TX,Wastella,TX,Texas,32.5104,-100.6496,,,,
Wataga IL,Wataga,IL,Illinois,41.0253,-90.2754,,,,
Watauga TX,Watauga,TX,Texas,32.8718,-97.2515,,,,
Watauga TN,Watauga,TN,Tennessee,36.369,-82.2935,,,,
Watch Hill RI,Watch Hill,RI,Rhode Island,41.3157,-71.8487,,,,
Watchtower NY,Watchtower,NY,New York,41.6371,-74.2633,,,,
Watchung NJ,Watchung,NJ,New Jersey,40.6433,-74.4391,,,,
Water Mill NY,Water Mill,NY,New York,40.9222,-72.3532,,,,
Water Valley TX,Water Valley,TX,Texas,31.6677,-100.717,,,,
Water Valley NY,Water Valley,NY,New York,42.7056,-78.85,,,,
Water Valley MS,Water Valley,MS,Mississippi,34.1622,-89.6301,,,,
Water Valley KY,Water Valley,KY,Kentucky,36.5688,-88.8108,,,,
Waterbury NE,Waterbury,NE,Nebraska,42.4571,-96.7353,,,,
Waterbury VT,Waterbury,VT,Vermont,44.3429,-72.7429,,,,
Waterbury CT,Waterbury,CT,Connecticut,41.5583,-73.0361,,,,
Wateree SC,Wateree,SC,South Carolina,33.8071,-80.6373,,,,
Waterflow NM,Waterflow,NM,New Mexico,36.7574,-108.4709,,,,
Waterford VA,Waterford,VA,Virginia,39.1868,-77.61,,,,
Waterford WI,Waterford,WI,Wisconsin,42.7653,-88.2164,,,,
Waterford NY,Waterford,NY,New York,42.7917,-73.6789,,,,
Waterford PA,Waterford,PA,Pennsylvania,41.9449,-79.9855,,,,
Waterford CA,Waterford,CA,California,37.643,-120.7553,,,,
Waterford IN,Waterford,IN,Indiana,41.6714,-86.845,,,,
Waterford CT,Waterford,CT,Connecticut,41.3452,-72.1288,,,,
Waterford OH,Waterford,OH,Ohio,39.5407,-81.6424,,,,
Waterford MS,Waterford,MS,Mississippi,34.6476,-89.4573,,,,
Waterford Works NJ,Waterford Works,NJ,New Jersey,39.7232,-74.8491,,,,
Waterloo WI,Waterloo,WI,Wisconsin,43.1835,-88.99,,,,
Waterloo NE,Waterloo,NE,Nebraska,41.2856,-96.285,,,,
Waterloo NY,Waterloo,NY,New York,42.9048,-76.8592,,,,
Waterloo CA,Waterloo,CA,California,38.0365,-121.1846,,,,
Waterloo AL,Waterloo,AL,Alabama,34.9172,-88.0655,,,,
Waterloo AR,Waterloo,AR,Arkansas,33.5432,-93.246,,,,
Waterloo IL,Waterloo,IL,Illinois,38.3403,-90.1538,,,,
Waterloo IN,Waterloo,IN,Indiana,41.4319,-85.0286,,,,
Waterloo IA,Waterloo,IA,Iowa,42.492,-92.3522,,,,
Waterloo MD,Waterloo,MD,Maryland,39.1721,-76.785,,,,
Waterloo MT,Waterloo,MT,Montana,45.7219,-112.1922,,,,
Waterloo SC,Waterloo,SC,South Carolina,34.3545,-82.0597,,,,
Waterloo OR,Waterloo,OR,Oregon,44.4948,-122.8243,,,,
Waterman IL,Waterman,IL,Illinois,41.7683,-88.7657,,,,
Waterproof LA,Waterproof,LA,Louisiana,31.8072,-91.3861,,,,
Watersmeet MI,Watersmeet,MI,Michigan,46.2872,-89.1937,,,,
Watertown WI,Watertown,WI,Wisconsin,43.1893,-88.7285,,,,
Watertown FL,Watertown,FL,Florida,30.1854,-82.6023,,,,
Watertown TN,Watertown,TN,Tennessee,36.1011,-86.1403,,,,
Watertown NY,Watertown,NY,New York,43.9734,-75.9094,,,,
Watertown CT,Watertown,CT,Connecticut,41.6018,-73.1195,,,,
Watertown MA,Watertown,MA,Massachusetts,42.37,-71.1775,,,,
Watertown OH,Watertown,OH,Ohio,39.4659,-81.6332,,,,
Watertown MN,Watertown,MN,Minnesota,44.9598,-93.8435,,,,
Watertown SD,Watertown,SD,South Dakota,44.9096,-97.1539,,,,
Waterview MD,Waterview,MD,Maryland,38.2482,-75.9017,,,,
Waterville WA,Waterville,WA,Washington,47.648,-120.0707,,,,
Waterville WI,Waterville,WI,Wisconsin,43.02,-88.4382,,,,
Waterville NY,Waterville,NY,New York,42.9306,-75.3802,,,,
Waterville IA,Waterville,IA,Iowa,43.2084,-91.296,,,,
Waterville ME,Waterville,ME,Maine,44.544,-69.6626,,,,
Waterville OH,Waterville,OH,Ohio,41.5017,-83.7365,,,,
Waterville MN,Waterville,MN,Minnesota,44.2236,-93.5745,,,,
Waterville KS,Waterville,KS,Kansas,39.6919,-96.747,,,,
Watervliet NY,Watervliet,NY,New York,42.7243,-73.7068,,,,
Watervliet MI,Watervliet,MI,Michigan,42.1883,-86.2578,,,,
Watford City ND,Watford City,ND,North Dakota,47.8021,-103.2748,,,,
Watha NC,Watha,NC,North Carolina,34.6516,-77.9586,,,,
Wathena KS,Wathena,KS,Kansas,39.7604,-94.9398,,,,
Watkins CO,Watkins,CO,Colorado,39.6971,-104.5787,,,,
Watkins IA,Watkins,IA,Iowa,41.8931,-91.9849,,,,
Watkins MN,Watkins,MN,Minnesota,45.3152,-94.4111,,,,
Watkins Glen NY,Watkins Glen,NY,New York,42.3801,-76.8673,,,,
Watkinsville GA,Watkinsville,GA,Georgia,33.8613,-83.4073,,,,
Watonga OK,Watonga,OK,Oklahoma,35.8661,-98.4166,,,,
Watova OK,Watova,OK,Oklahoma,36.6173,-95.6558,,,,
Watrous NM,Watrous,NM,New Mexico,35.79,-104.9819,,,,
Watseka IL,Watseka,IL,Illinois,40.7748,-87.7293,,,,
Watson TX,Watson,TX,Texas,30.9343,-98.0145,,,,
Watson LA,Watson,LA,Louisiana,30.575,-90.9508,,,,
Watson AR,Watson,AR,Arkansas,33.8938,-91.2574,,,,
Watson IL,Watson,IL,Illinois,39.0262,-88.5683,,,,
Watson MO,Watson,MO,Missouri,40.4798,-95.6232,,,,
Watson MN,Watson,MN,Minnesota,45.0104,-95.7999,,,,
Watsontown PA,Watsontown,PA,Pennsylvania,41.0849,-76.8645,,,,
Watsonville CA,Watsonville,CA,California,36.9206,-121.7706,,,,
Wattenberg CO,Wattenberg,CO,Colorado,40.0278,-104.8366,,,,
Watters PA,Watters,PA,Pennsylvania,40.7581,-80.032,,,,
Watterson Park KY,Watterson Park,KY,Kentucky,38.189,-85.6865,,,,
Watts OK,Watts,OK,Oklahoma,36.1073,-94.5717,,,,
Wattsburg PA,Wattsburg,PA,Pennsylvania,42.0029,-79.807,,,,
Wattsville VA,Wattsville,VA,Virginia,37.9304,-75.4953,,,,
Wattsville AL,Wattsville,AL,Alabama,33.6815,-86.2797,,,,
Waubay SD,Waubay,SD,South Dakota,45.3346,-97.3054,,,,
Waubeka WI,Waubeka,WI,Wisconsin,43.4702,-87.9921,,,,
Waubun MN,Waubun,MN,Minnesota,47.184,-95.9401,,,,
Wauchula FL,Wauchula,FL,Florida,27.547,-81.8102,,,,
Waucoma IA,Waucoma,IA,Iowa,43.0555,-92.0341,,,,
Wauconda IL,Wauconda,IL,Illinois,42.2749,-88.136,,,,
Waucousta WI,Waucousta,WI,Wisconsin,43.6525,-88.2604,,,,
Wauhillau OK,Wauhillau,OK,Oklahoma,35.8682,-94.7623,,,,
Waukau WI,Waukau,WI,Wisconsin,43.9863,-88.7706,,,,
Waukee IA,Waukee,IA,Iowa,41.6002,-93.8702,,,,
Waukeenah FL,Waukeenah,FL,Florida,30.402,-83.96,,,,
Waukegan IL,Waukegan,IL,Illinois,42.3697,-87.8716,,,,
Waukena CA,Waukena,CA,California,36.1361,-119.5109,,,,
Waukesha WI,Waukesha,WI,Wisconsin,43.0088,-88.2462,,,,
Waukomis OK,Waukomis,OK,Oklahoma,36.2833,-97.9038,,,,
Waukon IA,Waukon,IA,Iowa,43.2684,-91.4782,,,,
Waumandee WI,Waumandee,WI,Wisconsin,44.3023,-91.7051,,,,
Wauna WA,Wauna,WA,Washington,47.3862,-122.6692,,,,
Waunakee WI,Waunakee,WI,Wisconsin,43.183,-89.4426,,,,
Wauneta NE,Wauneta,NE,Nebraska,40.4165,-101.3766,,,,
Waupaca WI,Waupaca,WI,Wisconsin,44.3508,-89.0719,,,,
Waupun WI,Waupun,WI,Wisconsin,43.6314,-88.7379,,,,
Wauregan CT,Wauregan,CT,Connecticut,41.75,-71.9091,,,,
Waurika OK,Waurika,OK,Oklahoma,34.1846,-98.0245,,,,
Wausa NE,Wausa,NE,Nebraska,42.4979,-97.5393,,,,
Wausau WI,Wausau,WI,Wisconsin,44.9616,-89.6439,,,,
Wausau FL,Wausau,FL,Florida,30.6334,-85.5872,,,,
Wausaukee WI,Wausaukee,WI,Wisconsin,45.3779,-87.9551,,,,
Wauseon OH,Wauseon,OH,Ohio,41.5534,-84.1406,,,,
Wautauga Beach WA,Wautauga Beach,WA,Washington,47.5862,-122.5482,,,,
Wautoma WI,Wautoma,WI,Wisconsin,44.0669,-89.2919,,,,
Wauwatosa WI,Wauwatosa,WI,Wisconsin,43.0616,-88.0347,,,,
Wauzeka WI,Wauzeka,WI,Wisconsin,43.0851,-90.8995,,,,
Waveland AR,Waveland,AR,Arkansas,35.1237,-93.6282,,,,
Waveland IN,Waveland,IN,Indiana,39.8773,-87.0454,,,,
Waveland MS,Waveland,MS,Mississippi,30.293,-89.3904,,,,
Waverly WA,Waverly,WA,Washington,47.338,-117.2313,,,,
Waverly VA,Waverly,VA,Virginia,37.034,-77.0956,,,,
Waverly WV,Waverly,WV,West Virginia,39.3329,-81.3812,,,,
Waverly FL,Waverly,FL,Florida,27.9839,-81.6196,,,,
Waverly NE,Waverly,NE,Nebraska,40.9109,-96.5341,,,,
Waverly TN,Waverly,TN,Tennessee,36.0942,-87.785,,,,
Waverly NY,Waverly,NY,New York,42.0119,-76.5405,,,,
Waverly PA,Waverly,PA,Pennsylvania,41.5287,-75.7033,,,,
Waverly AL,Waverly,AL,Alabama,32.7333,-85.5761,,,,
Waverly IL,Waverly,IL,Illinois,39.5926,-89.9523,,,,
Waverly GA,Waverly,GA,Georgia,31.0958,-81.7226,,,,
Waverly IA,Waverly,IA,Iowa,42.725,-92.4706,,,,
Waverly OH,Waverly,OH,Ohio,39.1256,-82.9836,,,,
Waverly MO,Waverly,MO,Missouri,39.2072,-93.5187,,,,
Waverly MN,Waverly,MN,Minnesota,45.0649,-93.9663,,,,
Waverly MI,Waverly,MI,Michigan,42.7401,-84.6353,,,,
Waverly KS,Waverly,KS,Kansas,38.3961,-95.6049,,,,
Waverly KY,Waverly,KY,Kentucky,37.7094,-87.8145,,,,
Waverly SD,Waverly,SD,South Dakota,44.9987,-96.9742,,,,
Waverly Hall GA,Waverly Hall,GA,Georgia,32.6837,-84.7378,,,,
Waves NC,Waves,NC,North Carolina,35.5676,-75.467,,,,
Wawona CA,Wawona,CA,California,37.5482,-119.6396,,,,
Wax KY,Wax,KY,Kentucky,37.3542,-86.1222,,,,
Waxahachie TX,Waxahachie,TX,Texas,32.4035,-96.8428,,,,
Waxhaw NC,Waxhaw,NC,North Carolina,34.9362,-80.743,,,,
Way MS,Way,MS,Mississippi,32.744,-90.0331,,,,
Waycross GA,Waycross,GA,Georgia,31.211,-82.3578,,,,
Wayland NY,Wayland,NY,New York,42.5659,-77.5925,,,,
Wayland IA,Wayland,IA,Iowa,41.1485,-91.6591,,,,
Wayland MO,Wayland,MO,Missouri,40.3963,-91.5754,,,,
Wayland MI,Wayland,MI,Michigan,42.6725,-85.6408,,,,
Wayland KY,Wayland,KY,Kentucky,37.451,-82.7994,,,,
Waymart PA,Waymart,PA,Pennsylvania,41.5866,-75.4047,,,,
Wayne WV,Wayne,WV,West Virginia,38.2254,-82.4415,,,,
Wayne NE,Wayne,NE,Nebraska,42.2371,-97.0158,,,,
Wayne PA,Wayne,PA,Pennsylvania,40.044,-75.3877,,,,
Wayne IL,Wayne,IL,Illinois,41.9494,-88.2583,,,,
Wayne OK,Wayne,OK,Oklahoma,34.9171,-97.3166,,,,
Wayne OH,Wayne,OH,Ohio,41.301,-83.4717,,,,
Wayne MI,Wayne,MI,Michigan,42.2774,-83.3877,,,,
Wayne KS,Wayne,KS,Kansas,39.7147,-97.542,,,,
Wayne City IL,Wayne City,IL,Illinois,38.3481,-88.5895,,,,
Wayne Heights PA,Wayne Heights,PA,Pennsylvania,39.7455,-77.5436,,,,
Wayne Lakes Park OH,Wayne Lakes Park,OH,Ohio,40.0216,-84.6625,,,,
Waynesboro VA,Waynesboro,VA,Virginia,38.0673,-78.9012,,,,
Waynesboro TN,Waynesboro,TN,Tennessee,35.3229,-87.7598,,,,
Waynesboro PA,Waynesboro,PA,Pennsylvania,39.7525,-77.5822,,,,
Waynesboro GA,Waynesboro,GA,Georgia,33.0909,-82.0146,,,,
Waynesboro MS,Waynesboro,MS,Mississippi,31.6773,-88.6353,,,,
Waynesburg PA,Waynesburg,PA,Pennsylvania,39.8983,-80.1855,,,,
Waynesburg OH,Waynesburg,OH,Ohio,40.6683,-81.2598,,,,
Waynesfield OH,Waynesfield,OH,Ohio,40.6025,-83.9733,,,,
Waynesville NC,Waynesville,NC,North Carolina,35.4853,-82.9996,,,,
Waynesville IL,Waynesville,IL,Illinois,40.2411,-89.1245,,,,
Waynesville OH,Waynesville,OH,Ohio,39.5329,-84.0903,,,,
Waynesville MO,Waynesville,MO,Missouri,37.8207,-92.22,,,,
Waynetown IN,Waynetown,IN,Indiana,40.0879,-87.0662,,,,
Waynoka OK,Waynoka,OK,Oklahoma,36.5849,-98.8785,,,,
Wayside WI,Wayside,WI,Wisconsin,44.2553,-87.9526,,,,
Wayside GA,Wayside,GA,Georgia,33.0612,-83.6049,,,,
Wayside KS,Wayside,KS,Kansas,37.1248,-95.8733,,,,
Wayside MS,Wayside,MS,Mississippi,33.269,-91.0337,,,,
Wayzata MN,Wayzata,MN,Minnesota,44.9708,-93.5139,,,,
Weatherby MO,Weatherby,MO,Missouri,39.9093,-94.2419,,,,
Weatherby Lake MO,Weatherby Lake,MO,Missouri,39.2365,-94.696,,,,
Weatherford TX,Weatherford,TX,Texas,32.7547,-97.7665,,,,
Weatherford OK,Weatherford,OK,Oklahoma,35.5385,-98.6872,,,,
Weatherly PA,Weatherly,PA,Pennsylvania,40.942,-75.821,,,,
Weathersby MS,Weathersby,MS,Mississippi,31.9393,-89.8317,,,,
Weatogue CT,Weatogue,CT,Connecticut,41.8459,-72.8294,,,,
Weaubleau MO,Weaubleau,MO,Missouri,37.8915,-93.5404,,,,
Weaver AL,Weaver,AL,Alabama,33.7602,-85.8117,,,,
Weaver MN,Weaver,MN,Minnesota,44.215,-91.9288,,,,
Weaverville NC,Weaverville,NC,North Carolina,35.6962,-82.5581,,,,
Weaverville CA,Weaverville,CA,California,40.7488,-122.9274,,,,
Webb WV,Webb,WV,West Virginia,37.9698,-82.4824,,,,
Webb TX,Webb,TX,Texas,32.6326,-97.0742,,,,
Webb AL,Webb,AL,Alabama,31.2572,-85.2898,,,,
Webb GA,Webb,GA,Georgia,34.0973,-84.2594,,,,
Webb IA,Webb,IA,Iowa,42.9497,-95.0129,,,,
Webb MS,Webb,MS,Mississippi,33.9478,-90.3463,,,,
Webb City AR,Webb City,AR,Arkansas,35.4681,-93.8319,,,,
Webb City OK,Webb City,OK,Oklahoma,36.8074,-96.7119,,,,
Webb City MO,Webb City,MO,Missouri,37.1413,-94.4675,,,,
Webber KS,Webber,KS,Kansas,39.9343,-98.0351,,,,
Webbers Falls OK,Webbers Falls,OK,Oklahoma,35.5122,-95.1602,,,,
Webberville TX,Webberville,TX,Texas,30.226,-97.4995,,,,
Webberville MI,Webberville,MI,Michigan,42.6639,-84.1785,,,,
Webbville KY,Webbville,KY,Kentucky,38.1795,-82.8713,,,,
Weber GA,Weber,GA,Georgia,31.2371,-83.1399,,,,
Weber City VA,Weber City,VA,Virginia,36.6237,-82.5628,,,,
Webster WI,Webster,WI,Wisconsin,45.88,-92.3631,,,,
Webster FL,Webster,FL,Florida,28.6115,-82.051,,,,
Webster TX,Webster,TX,Texas,29.5317,-95.1188,,,,
Webster NC,Webster,NC,North Carolina,35.35,-83.2188,,,,
Webster ND,Webster,ND,North Dakota,48.2822,-98.8762,,,,
Webster NY,Webster,NY,New York,43.215,-77.4225,,,,
Webster PA,Webster,PA,Pennsylvania,40.1876,-79.8489,,,,
Webster IN,Webster,IN,Indiana,39.9034,-84.9452,,,,
Webster IA,Webster,IA,Iowa,41.4379,-92.1715,,,,
Webster MD,Webster,MD,Maryland,39.5734,-76.1563,,,,
Webster MA,Webster,MA,Massachusetts,42.0447,-71.8748,,,,
Webster SD,Webster,SD,South Dakota,45.3355,-97.5216,,,,
Webster City IA,Webster City,IA,Iowa,42.4623,-93.8167,,,,
Webster Groves MO,Webster Groves,MO,Missouri,38.5866,-90.3544,,,,
Webster Springs WV,Webster Springs,WV,West Virginia,38.4793,-80.4134,,,,
Websters Corners NY,Websters Corners,NY,New York,42.7834,-78.7464,,,,
Websters Crossing NY,Websters Crossing,NY,New York,42.6661,-77.6373,,,,
Websterville VT,Websterville,VT,Vermont,44.1617,-72.4722,,,,
Weches TX,Weches,TX,Texas,31.5441,-95.2277,,,,
Weddington NC,Weddington,NC,North Carolina,35.0228,-80.7383,,,,
Wedgefield FL,Wedgefield,FL,Florida,28.4847,-81.0808,,,,
Wedgefield SC,Wedgefield,SC,South Carolina,33.8829,-80.5157,,,,
Wedges Corner IL,Wedges Corner,IL,Illinois,42.3861,-88.0042,,,,
Wedowee AL,Wedowee,AL,Alabama,33.3078,-85.4864,,,,
Wedron IL,Wedron,IL,Illinois,41.4361,-88.7734,,,,
Weed NM,Weed,NM,New Mexico,32.8025,-105.5248,,,,
Weed CA,Weed,CA,California,41.4127,-122.3815,,,,
Weed Heights NV,Weed Heights,NV,Nevada,38.9871,-119.209,,,,
Weedonville VA,Weedonville,VA,Virginia,38.2985,-77.1586,,,,
Weedpatch CA,Weedpatch,CA,California,35.2369,-118.9123,,,,
Weedsport NY,Weedsport,NY,New York,43.0482,-76.5637,,,,
Weedville PA,Weedville,PA,Pennsylvania,41.2764,-78.4902,,,,
Weehawken NJ,Weehawken,NJ,New Jersey,40.7695,-74.0204,,,,
Weekapaug RI,Weekapaug,RI,Rhode Island,41.3359,-71.7633,,,,
Weeki Wachee FL,Weeki Wachee,FL,Florida,28.517,-82.5775,,,,
Weeki Wachee Gardens FL,Weeki Wachee Gardens,FL,Florida,28.5375,-82.6208,,,,
Weeksville NC,Weeksville,NC,North Carolina,36.2054,-76.1477,,,,
Weeksville MT,Weeksville,MT,Montana,47.531,-115.0077,,,,
Weeping Water NE,Weeping Water,NE,Nebraska,40.8691,-96.14,,,,
Weesatche TX,Weesatche,TX,Texas,28.8472,-97.448,,,,
Wegdahl MN,Wegdahl,MN,Minnesota,44.89,-95.6453,,,,
Weidman MI,Weidman,MI,Michigan,43.7014,-84.9745,,,,
Weigelstown PA,Weigelstown,PA,Pennsylvania,39.9843,-76.8315,,,,
Weimar TX,Weimar,TX,Texas,29.7,-96.7773,,,,
Weimar CA,Weimar,CA,California,39.0374,-120.9724,,,,
Weiner AR,Weiner,AR,Arkansas,35.6199,-90.9055,,,,
Weinert TX,Weinert,TX,Texas,33.3234,-99.6736,,,,
Weingarten MO,Weingarten,MO,Missouri,37.8894,-90.2172,,,,
Weippe ID,Weippe,ID,Idaho,46.3789,-115.9394,,,,
Weir TX,Weir,TX,Texas,30.6759,-97.5929,,,,
Weir KS,Weir,KS,Kansas,37.3082,-94.7746,,,,
Weir MS,Weir,MS,Mississippi,33.2635,-89.2905,,,,
Weir KY,Weir,KY,Kentucky,37.1231,-87.2125,,,,
Weirsdale FL,Weirsdale,FL,Florida,28.9819,-81.9242,,,,
Weirton WV,Weirton,WV,West Virginia,40.406,-80.5671,,,,
Weiser ID,Weiser,ID,Idaho,44.2566,-116.9696,,,,
Weissert NE,Weissert,NE,Nebraska,41.4672,-99.4432,,,,
Weissport PA,Weissport,PA,Pennsylvania,40.8289,-75.7009,,,,
Wekiwa Springs FL,Wekiwa Springs,FL,Florida,28.6984,-81.4249,,,,
Welaka FL,Welaka,FL,Florida,29.4819,-81.6659,,,,
Welby CO,Welby,CO,Colorado,39.8403,-104.9655,,,,
Welch WV,Welch,WV,West Virginia,37.4455,-81.5721,,,,
Welch TX,Welch,TX,Texas,32.9306,-102.1256,,,,
Welch OK,Welch,OK,Oklahoma,36.8738,-95.0947,,,,
Welcome LA,Welcome,LA,Louisiana,30.0474,-90.8823,,,,
Welcome NC,Welcome,NC,North Carolina,35.9066,-80.2548,,,,
Welcome MN,Welcome,MN,Minnesota,43.6662,-94.6079,,,,
Welcome SC,Welcome,SC,South Carolina,34.8204,-82.46,,,,
Welda KS,Welda,KS,Kansas,38.1747,-95.2915,,,,
Weldon TX,Weldon,TX,Texas,31.0216,-95.5713,,,,
Weldon LA,Weldon,LA,Louisiana,32.8596,-92.7254,,,,
Weldon NC,Weldon,NC,North Carolina,36.421,-77.6135,,,,
Weldon CA,Weldon,CA,California,35.6431,-118.3103,,,,
Weldon AR,Weldon,AR,Arkansas,35.4477,-91.2316,,,,
Weldon IL,Weldon,IL,Illinois,40.1215,-88.7496,,,,
Weldon IA,Weldon,IA,Iowa,40.8973,-93.7355,,,,
Weldon Spring MO,Weldon Spring,MO,Missouri,38.7117,-90.6517,,,,
Weldon Spring Heights MO,Weldon Spring Heights,MO,Missouri,38.7048,-90.6853,,,,
Weldona CO,Weldona,CO,Colorado,40.3484,-103.9694,,,,
Weleetka OK,Weleetka,OK,Oklahoma,35.3424,-96.1353,,,,
Wellborn FL,Wellborn,FL,Florida,30.2311,-82.8196,,,,
Wellborn TX,Wellborn,TX,Texas,30.5352,-96.3016,,,,
Wellersburg PA,Wellersburg,PA,Pennsylvania,39.7306,-78.848,,,,
Wellesley MA,Wellesley,MA,Massachusetts,42.3043,-71.2855,,,,
Wellfleet NE,Wellfleet,NE,Nebraska,40.7539,-100.7318,,,,
Wellford SC,Wellford,SC,South Carolina,34.9614,-82.0921,,,,
Welling OK,Welling,OK,Oklahoma,35.8561,-94.8457,,,,
Wellington VA,Wellington,VA,Virginia,38.7457,-77.0553,,,,
Wellington FL,Wellington,FL,Florida,26.6464,-80.2708,,,,
Wellington TX,Wellington,TX,Texas,34.8538,-100.2141,,,,
Wellington NV,Wellington,NV,Nevada,38.7563,-119.376,,,,
Wellington CO,Wellington,CO,Colorado,40.7,-105.0059,,,,
Wellington AL,Wellington,AL,Alabama,33.8226,-85.8927,,,,
Wellington IL,Wellington,IL,Illinois,40.5404,-87.6796,,,,
Wellington OH,Wellington,OH,Ohio,41.161,-82.2268,,,,
Wellington UT,Wellington,UT,Utah,39.5358,-110.7344,,,,
Wellington MO,Wellington,MO,Missouri,39.1383,-93.9861,,,,
Wellington KS,Wellington,KS,Kansas,37.2621,-97.428,,,,
Wellington KY,Wellington,KY,Kentucky,38.2168,-85.6702,,,,
Wellman TX,Wellman,TX,Texas,33.0468,-102.4278,,,,
Wellman IA,Wellman,IA,Iowa,41.4693,-91.8354,,,,
Wellpinit WA,Wellpinit,WA,Washington,47.8879,-117.988,,,,
Wells TX,Wells,TX,Texas,31.4916,-94.9473,,,,
Wells NY,Wells,NY,New York,43.3963,-74.2979,,,,
Wells NV,Wells,NV,Nevada,41.1132,-114.9535,,,,
Wells VT,Wells,VT,Vermont,43.4209,-73.2074,,,,
Wells MN,Wells,MN,Minnesota,43.743,-93.7277,,,,
Wells KS,Wells,KS,Kansas,39.1389,-97.5509,,,,
Wells Branch TX,Wells Branch,TX,Texas,30.4439,-97.6788,,,,
Wells River VT,Wells River,VT,Vermont,44.1537,-72.0617,,,,
Wellsboro PA,Wellsboro,PA,Pennsylvania,41.7459,-77.3031,,,,
Wellsboro IN,Wellsboro,IN,Indiana,41.4973,-86.7653,,,,
Wellsburg WV,Wellsburg,WV,West Virginia,40.2811,-80.6102,,,,
Wellsburg ND,Wellsburg,ND,North Dakota,47.8317,-99.7615,,,,
Wellsburg NY,Wellsburg,NY,New York,42.0127,-76.7298,,,,
Wellsburg IA,Wellsburg,IA,Iowa,42.4338,-92.9265,,,,
Wellsford KS,Wellsford,KS,Kansas,37.6167,-99.0287,,,,
Wellston OK,Wellston,OK,Oklahoma,35.6861,-97.0616,,,,
Wellston OH,Wellston,OH,Ohio,39.1172,-82.5375,,,,
Wellston MO,Wellston,MO,Missouri,38.6751,-90.2941,,,,
Wellston MI,Wellston,MI,Michigan,44.2179,-85.962,,,,
Wellsville NY,Wellsville,NY,New York,42.1207,-77.9457,,,,
Wellsville PA,Wellsville,PA,Pennsylvania,40.0512,-76.9408,,,,
Wellsville OH,Wellsville,OH,Ohio,40.6042,-80.655,,,,
Wellsville UT,Wellsville,UT,Utah,41.6223,-111.943,,,,
Wellsville MO,Wellsville,MO,Missouri,39.0734,-91.5692,,,,
Wellsville KS,Wellsville,KS,Kansas,38.7164,-95.0807,,,,
Wellton AZ,Wellton,AZ,Arizona,32.64,-114.214,,,,
Welsh LA,Welsh,LA,Louisiana,30.2355,-92.8135,,,,
Welshfield OH,Welshfield,OH,Ohio,41.387,-81.1423,,,,
Welton IA,Welton,IA,Iowa,41.9075,-90.596,,,,
Welty OK,Welty,OK,Oklahoma,35.6245,-96.4053,,,,
Wenasoga MS,Wenasoga,MS,Mississippi,34.987,-88.5906,,,,
Wenatchee WA,Wenatchee,WA,Washington,47.4251,-120.329,,,,
Wendel PA,Wendel,PA,Pennsylvania,40.2956,-79.6864,,,,
Wendel CA,Wendel,CA,California,40.3482,-120.2335,,,,
Wendell NC,Wendell,NC,North Carolina,35.7823,-78.3963,,,,
Wendell ID,Wendell,ID,Idaho,42.7746,-114.7026,,,,
Wendell MN,Wendell,MN,Minnesota,46.0359,-96.1008,,,,
Wendelville NY,Wendelville,NY,New York,43.0712,-78.7706,,,,
Wenden AZ,Wenden,AZ,Arizona,33.8324,-113.5433,,,,
Wendover UT,Wendover,UT,Utah,40.724,-114.025,,,,
Wendte SD,Wendte,SD,South Dakota,44.2444,-100.6651,,,,
Wenona IL,Wenona,IL,Illinois,41.0486,-89.0522,,,,
Wenona GA,Wenona,GA,Georgia,31.9055,-83.7668,,,,
Wenona MD,Wenona,MD,Maryland,38.139,-75.9502,,,,
Wenonah NJ,Wenonah,NJ,New Jersey,39.7913,-75.1484,,,,
Wenonah IL,Wenonah,IL,Illinois,39.32,-89.2879,,,,
Wentworth NC,Wentworth,NC,North Carolina,36.3914,-79.751,,,,
Wentworth MO,Wentworth,MO,Missouri,36.9932,-94.0756,,,,
Wentworth SD,Wentworth,SD,South Dakota,43.997,-96.9645,,,,
Wentzville MO,Wentzville,MO,Missouri,38.8165,-90.8671,,,,
Weogufka AL,Weogufka,AL,Alabama,33.0267,-86.3169,,,,
Weona AR,Weona,AR,Arkansas,35.547,-90.5976,,,,
Weott CA,Weott,CA,California,40.3226,-123.9208,,,,
Werley WI,Werley,WI,Wisconsin,43.0194,-90.7654,,,,
Wernersville PA,Wernersville,PA,Pennsylvania,40.3302,-76.082,,,,
Wescosville PA,Wescosville,PA,Pennsylvania,40.5617,-75.5489,,,,
Weskan KS,Weskan,KS,Kansas,38.8653,-101.9682,,,,
Weslaco TX,Weslaco,TX,Texas,26.1669,-97.9859,,,,
Wesley AR,Wesley,AR,Arkansas,36.0273,-93.9202,,,,
Wesley GA,Wesley,GA,Georgia,32.4835,-82.331,,,,
Wesley IA,Wesley,IA,Iowa,43.0886,-93.9937,,,,
Wesley Chapel FL,Wesley Chapel,FL,Florida,28.2106,-82.3238,,,,
Wesley Chapel NC,Wesley Chapel,NC,North Carolina,34.9985,-80.6904,,,,
Wesley Hills NY,Wesley Hills,NY,New York,41.1579,-74.0768,,,,
Wesleyville PA,Wesleyville,PA,Pennsylvania,42.1369,-80.0123,,,,
Wessington SD,Wessington,SD,South Dakota,44.4552,-98.6967,,,,
